hidden_layers,neurons_per_layer,activation,batch_size,val_loss
2,50,sigmoid,64,19.84096739525671
2,50,linear,16,20.453138316358455
2,50,linear,32,20.430924066429753
2,50,linear,64,20.117626998317725
2,50,softmax,16,187.8237865131156
2,50,softmax,32,266.050786440274
2,50,softmax,64,306.21896810656796
2,50,selu,16,19.1387005776604
2,50,selu,32,18.8924264467984
2,50,selu,64,19.53809971584613
2,50,gelu,16,19.122669532432624
2,50,gelu,32,18.831007701674785
2,50,gelu,64,18.881832538992796
2,50,exponential,16,22.21461663538222
2,50,exponential,32,19.796897631377874
2,50,exponential,64,19.560150129294964
2,25,tanh,16,19.06225880422061
2,25,tanh,32,19.0908243294721
2,25,tanh,64,19.406497314326867
2,25,relu,16,19.126940146297184
2,25,relu,32,19.41946785664899
2,25,relu,64,19.588342364027667
2,25,sigmoid,16,18.907306055607446
2,25,sigmoid,32,19.444323129195016
2,25,sigmoid,64,22.580275648819065
2,25,linear,16,20.36799048679763
2,25,linear,32,20.547128788995007
2,25,linear,64,20.13542089122749
2,25,softmax,16,188.10965842337086
2,25,softmax,32,266.19632611770794
2,25,softmax,64,306.52492058050944
2,25,selu,16,19.059483288762685
2,25,selu,32,18.89887461773653
2,25,selu,64,18.881871117588933
2,25,gelu,16,18.990990828994786
2,25,gelu,32,19.42838831345156
2,25,gelu,64,19.311613573859518
2,25,exponential,16,20.292646212649984
2,25,exponential,32,19.78779485191955
2,25,exponential,64,20.014127424044556
2,100,tanh,16,19.822090636720798
2,100,tanh,32,19.389942382335356
2,100,tanh,64,19.649186850399325
2,100,relu,16,18.936527942543613
2,100,relu,32,19.104168501142805
2,100,relu,64,18.871171321262544
2,100,sigmoid,16,18.82756080915701
2,100,sigmoid,32,19.27693969421686
2,100,sigmoid,64,19.743676494291222
2,100,linear,16,20.475213156825895
2,100,linear,32,20.791800090058967
2,100,linear,64,20.40441819896813
2,100,softmax,16,187.59633024440592
2,100,softmax,32,265.7215854193342
2,100,softmax,64,306.1351419383136
2,100,selu,16,19.202663192922184
2,100,selu,32,18.876733515454685
2,100,selu,64,18.9771783059017
2,100,gelu,16,19.122595167384805
2,100,gelu,32,19.15655412333715
2,100,gelu,64,18.953031958418467
2,100,exponential,16,20.015189387038156
2,100,exponential,32,21.413848809526364
2,100,exponential,64,23.85105712115133
3,50,tanh,16,19.477482120129654
3,50,tanh,32,19.640899181051704
3,50,tanh,64,19.271899250377636
3,50,relu,16,19.02932540059371
3,50,relu,32,19.925511560519748
3,50,relu,64,19.091481592968986
3,50,sigmoid,16,18.975010450293183
3,50,sigmoid,32,18.97868218630198
3,50,sigmoid,64,20.72698628289186
3,50,linear,16,20.22422923093776
3,50,linear,32,20.134962666589715
3,50,linear,64,20.67663060066693
3,50,softmax,16,187.69981277662188
3,50,softmax,32,265.9689185754948
3,50,softmax,64,306.3639128395467
3,50,selu,16,22.608296539865886
3,50,selu,32,19.05620304191848
3,50,selu,64,19.247385057049016
3,50,gelu,16,20.083022384565535
3,50,gelu,32,19.230719628848703
3,50,gelu,64,19.292048573590765
3,50,exponential,16,19.356392165115675
3,50,exponential,32,19.97040332308087
3,50,exponential,64,24.947748663271202
3,25,tanh,16,19.13237699560243
3,25,tanh,32,20.43808520162967
3,25,tanh,64,19.309558672121245
3,25,relu,16,19.08224540420359
3,25,relu,32,19.353176191213954
3,25,relu,64,19.62886643522432
3,25,sigmoid,16,19.053030788802584
3,25,sigmoid,32,19.2949363699018
3,25,sigmoid,64,21.628894182882636
3,25,linear,16,21.4988593335422
3,25,linear,32,20.39812344276643
3,25,linear,64,20.143323496825346
3,25,softmax,16,188.05147854300316
3,25,softmax,32,266.06017348816613
3,25,softmax,64,306.51690480963
3,25,selu,16,21.508640382242525
3,25,selu,32,18.91221758340001
3,25,selu,64,18.90410679350164
3,25,gelu,16,19.01032637087814
3,25,gelu,32,18.825964435409375
3,25,gelu,64,18.933322734887447
3,25,exponential,16,18.79948978773699
3,25,exponential,32,
3,25,exponential,64,20.204560008828672
3,100,tanh,16,20.23515798638368
3,100,tanh,32,19.79326824205294
3,100,tanh,64,19.191593522780053
3,100,relu,16,19.494773249971715
3,100,relu,32,19.30676184653068
3,100,relu,64,19.199026221277823
3,100,sigmoid,16,19.010112612183203
3,100,sigmoid,32,19.049243726683294
3,100,sigmoid,64,19.83760557576672
3,100,linear,16,21.85399274929129
3,100,linear,32,23.227571189044667
3,100,linear,64,20.57717518883443
3,100,softmax,16,187.5033201303312
3,100,softmax,32,265.7443133040175
3,100,softmax,64,306.1602595588138
3,100,selu,16,19.34626342692784
3,100,selu,32,19.14600656199127
3,100,selu,64,21.26641828979546
3,100,gelu,16,21.612578636218114
3,100,gelu,32,19.236404477872142
3,100,gelu,64,19.402807146593613
3,100,exponential,16,19.920214760031982
3,100,exponential,32,21.112030825303073
3,100,exponential,64,19.15327884130179
